Month,Day,Year,ID_Number,Weight_g,SVL_mm,Swab_ID,Sprayed_YN,Fell_On_Floor_YN,Feed_YN,Amount_of_fruit_flies_fed,Notes,Exp_Day
1,3,2018,1,0.917,18.4,NA,NA,NA,NA,NA,NA,55
1,3,2018,5,0.796,20,NA,NA,NA,NA,NA,NA,55
1,3,2018,7,0.716,19.5,NA,NA,NA,NA,NA,NA,55
1,3,2018,8,0.672,19.6,NA,NA,NA,NA,NA,NA,55
1,3,2018,10,0.782,19,NA,NA,NA,NA,NA,NA,55
1,3,2018,13,0.634,19.2,NA,NA,NA,NA,NA,NA,55
1,3,2018,15,0.877,19.2,NA,NA,NA,NA,NA,NA,55
1,3,2018,18,0.82,19.6,NA,NA,NA,NA,NA,NA,55
1,3,2018,20,0.728,18.4,NA,NA,NA,NA,NA,NA,55
1,3,2018,22,0.492,16.8,NA,NA,NA,NA,NA,NA,55
1,3,2018,23,0.718,18.5,NA,NA,NA,NA,NA,NA,55
1,3,2018,24,0.863,20.3,NA,NA,NA,NA,NA,NA,55
1,3,2018,25,0.782,18.5,NA,NA,NA,NA,NA,NA,55
1,3,2018,26,0.694,20,NA,NA,NA,NA,NA,NA,55
1,3,2018,27,0.789,18,NA,NA,NA,NA,NA,NA,55
1,3,2018,28,0.724,19.2,NA,NA,NA,NA,NA,NA,55
1,3,2018,29,0.83,18.2,NA,NA,NA,NA,NA,NA,55
1,3,2018,31,0.675,18.5,NA,NA,NA,NA,NA,NA,55
1,3,2018,32,0.796,20.6,NA,NA,NA,NA,NA,NA,55
1,3,2018,34,0.618,20.1,NA,NA,NA,NA,NA,NA,55
1,3,2018,36,0.751,19.7,NA,NA,NA,NA,NA,NA,55
1,3,2018,37,0.705,18.2,NA,NA,NA,NA,NA,NA,55
1,3,2018,39,0.769,19,NA,NA,NA,NA,NA,NA,55
1,3,2018,40,0.885,19,NA,NA,NA,NA,NA,NA,55
1,3,2018,41,0.987,21,NA,NA,NA,NA,NA,NA,55
1,3,2018,44,0.73,19,NA,NA,NA,NA,NA,NA,55
1,3,2018,45,0.667,18.6,NA,NA,NA,NA,NA,NA,55
1,3,2018,45,0.474,17.3,NA,NA,NA,NA,NA,NA,55
1,3,2018,47,0.924,19.6,NA,NA,NA,NA,NA,NA,55
1,3,2018,49,0.906,19,NA,NA,NA,NA,NA,NA,55
1,3,2018,51,0.813,19,NA,NA,NA,NA,NA,NA,55
1,3,2018,54,0.67,18,NA,NA,NA,NA,NA,NA,55
1,3,2018,58,0.562,18,NA,NA,NA,NA,NA,NA,55
1,3,2018,59,0.757,18.6,NA,NA,NA,NA,NA,NA,55
1,3,2018,61,0.641,18.5,NA,NA,NA,NA,NA,NA,55
1,3,2018,63,0.79,20,NA,NA,NA,NA,NA,NA,55
1,3,2018,65,0.4,14.4,NA,NA,NA,NA,NA,NA,55
1,3,2018,66,0.953,22,NA,NA,NA,NA,NA,NA,55
1,3,2018,67,0.821,21,NA,NA,NA,NA,NA,NA,55
1,3,2018,68,0.573,16.6,NA,NA,NA,NA,NA,NA,55
1,3,2018,69,0.711,19.6,NA,NA,NA,NA,NA,NA,55
1,3,2018,73,0.895,19,NA,NA,NA,NA,NA,NA,55
1,3,2018,74,0.832,18.2,NA,NA,NA,NA,NA,NA,55
1,3,2018,76,0.746,19,NA,NA,NA,NA,NA,NA,55
1,3,2018,81,0.892,19.5,NA,NA,NA,NA,NA,NA,55
1,3,2018,83,0.736,19.5,NA,NA,NA,NA,NA,NA,55
1,3,2018,86,0.813,20.4,NA,NA,NA,NA,NA,NA,55
1,3,2018,87,1.01,20,NA,NA,NA,NA,NA,NA,55
1,3,2018,89,0.776,18.7,NA,NA,NA,NA,NA,NA,55
1,3,2018,90,0.677,18.6,NA,NA,NA,NA,NA,NA,55
1,3,2018,92,0.87,19.4,NA,NA,NA,NA,NA,NA,55
1,3,2018,94,0.723,19.7,NA,NA,NA,NA,NA,NA,55
1,3,2018,95,0.748,18.3,NA,NA,NA,NA,NA,NA,55
1,3,2018,96,0.74,18.5,NA,NA,NA,NA,NA,NA,55
1,3,2018,99,0.802,19.5,NA,NA,NA,NA,NA,NA,55
1,3,2018,101,0.754,18,NA,NA,NA,NA,NA,NA,55
1,3,2018,103,0.949,20.5,NA,NA,NA,NA,NA,NA,55
1,3,2018,104,0.879,19.2,NA,NA,NA,NA,NA,NA,55
1,3,2018,107,0.8,20,NA,NA,NA,NA,NA,NA,55
1,3,2018,108,0.846,18.8,NA,NA,NA,NA,NA,NA,55
1,3,2018,109,0.957,20.5,NA,NA,NA,NA,NA,NA,55
1,3,2018,111,0.804,18.8,NA,NA,NA,NA,NA,NA,55
1,3,2018,113,0.796,19.6,NA,NA,NA,NA,NA,NA,55
1,3,2018,114,0.747,19.4,NA,NA,NA,NA,NA,NA,55
1,3,2018,117,0.733,18.7,NA,NA,NA,NA,NA,NA,55
1,3,2018,119,0.915,20.2,NA,NA,NA,NA,NA,NA,55
1,3,2018,120,0.83,18.6,NA,NA,NA,NA,NA,NA,55
1,3,2018,121,0.502,16.3,NA,NA,NA,NA,NA,NA,55
1,3,2018,123,0.65,18.5,NA,NA,NA,NA,NA,NA,55
1,9,2018,1,0.812,18.4,NA,NA,NA,NA,NA,NA,61
1,9,2018,5,0.783,19.3,NA,NA,NA,NA,NA,NA,61
1,9,2018,7,0.677,18.3,NA,NA,NA,NA,NA,NA,61
1,9,2018,8,0.685,18.8,NA,NA,NA,NA,NA,NA,61
1,9,2018,10,0.771,20,NA,NA,NA,NA,NA,NA,61
1,9,2018,13,0.661,18.4,NA,NA,NA,NA,NA,NA,61
1,9,2018,15,0.825,19.6,NA,NA,NA,NA,NA,NA,61
1,9,2018,18,0.77,19.1,NA,NA,NA,NA,NA,NA,61
1,9,2018,20,0.705,17.5,NA,NA,NA,NA,NA,NA,61
1,9,2018,22,0.444,16.1,NA,NA,NA,NA,NA,NA,61
1,9,2018,23,0.777,18.4,NA,NA,NA,NA,NA,NA,61
1,9,2018,24,0.843,19.3,NA,NA,NA,NA,NA,NA,61
1,9,2018,25,0.743,19.9,NA,NA,NA,NA,NA,NA,61
1,9,2018,26,0.595,19.1,NA,NA,NA,NA,NA,NA,61
1,9,2018,27,0.764,19,NA,NA,NA,NA,NA,NA,61
1,9,2018,28,0.747,18.2,NA,NA,NA,NA,NA,NA,61
1,9,2018,29,0.827,19.9,NA,NA,NA,NA,NA,NA,61
1,9,2018,31,0.566,17.8,NA,NA,NA,NA,NA,NA,61
1,9,2018,32,0.762,19.9,NA,NA,NA,NA,NA,NA,61
1,9,2018,34,0.717,19.4,NA,NA,NA,NA,NA,NA,61
1,9,2018,36,0.704,19.6,NA,NA,NA,NA,NA,NA,61
1,9,2018,37,0.664,17.5,NA,NA,NA,NA,NA,NA,61
1,9,2018,39,0.735,19.9,NA,NA,NA,NA,NA,NA,61
1,9,2018,40,0.834,20.2,NA,NA,NA,NA,NA,NA,61
1,9,2018,41,0.972,20.8,NA,NA,NA,NA,NA,NA,61
1,9,2018,44,0.759,19.1,NA,NA,NA,NA,NA,NA,61
1,9,2018,45,0.691,17.7,NA,NA,NA,NA,NA,NA,61
1,9,2018,47,0.86,20.4,NA,NA,NA,NA,NA,NA,61
1,9,2018,49,0.887,20.1,NA,NA,NA,NA,NA,NA,61
1,9,2018,51,0.768,19.5,NA,NA,NA,NA,NA,NA,61
1,9,2018,54,0.702,18.7,NA,NA,NA,NA,NA,NA,61
1,9,2018,58,0.58,17.3,NA,NA,NA,NA,NA,NA,61
1,9,2018,59,0.754,18.6,NA,NA,NA,NA,NA,NA,61
1,9,2018,61,0.561,18.2,NA,NA,NA,NA,NA,NA,61
1,9,2018,63,0.814,20,NA,NA,NA,NA,NA,NA,61
1,9,2018,66,0.933,21,NA,NA,NA,NA,NA,NA,61
1,9,2018,67,0.838,19.8,NA,NA,NA,NA,NA,NA,61
1,9,2018,68,0.573,18.3,NA,NA,NA,NA,NA,NA,61
1,9,2018,69,0.709,19.2,NA,NA,NA,NA,NA,NA,61
1,9,2018,73,0.847,18.9,NA,NA,NA,NA,NA,NA,61
1,9,2018,74,0.776,20.1,NA,NA,NA,NA,NA,NA,61
1,9,2018,76,0.723,18.4,NA,NA,NA,NA,NA,NA,61
1,9,2018,81,0.855,19.5,NA,NA,NA,NA,NA,NA,61
1,9,2018,83,0.724,19,NA,NA,NA,NA,NA,NA,61
1,9,2018,86,0.821,20.7,NA,NA,NA,NA,NA,NA,61
1,9,2018,87,0.986,19.8,NA,NA,NA,NA,NA,NA,61
1,9,2018,89,0.806,19.3,NA,NA,NA,NA,NA,NA,61
1,9,2018,90,0.639,18.5,NA,NA,NA,NA,NA,NA,61
1,9,2018,92,0.813,19,NA,NA,NA,NA,NA,NA,61
1,9,2018,94,0.672,19,NA,NA,NA,NA,NA,NA,61
1,9,2018,95,0.742,18,NA,NA,NA,NA,NA,NA,61
1,9,2018,96,0.72,18.7,NA,NA,NA,NA,NA,NA,61
1,9,2018,101,0.727,18,NA,NA,NA,NA,NA,NA,61
1,9,2018,103,0.929,20.5,NA,NA,NA,NA,NA,NA,61
1,9,2018,104,0.838,19.8,NA,NA,NA,NA,NA,NA,61
1,9,2018,107,0.797,19.6,NA,NA,NA,NA,NA,NA,61
1,9,2018,108,0.82,19.2,NA,NA,NA,NA,NA,NA,61
1,9,2018,109,0.915,20.5,NA,NA,NA,NA,NA,NA,61
1,9,2018,111,0.796,20.6,NA,NA,NA,NA,NA,NA,61
1,9,2018,113,0.745,19,NA,NA,NA,NA,NA,NA,61
1,9,2018,114,0.781,19.1,NA,NA,NA,NA,NA,NA,61
1,9,2018,117,0.711,18.1,NA,NA,NA,NA,NA,NA,61
1,9,2018,119,0.874,20,NA,NA,NA,NA,NA,NA,61
1,9,2018,120,0.831,18.9,NA,NA,NA,NA,NA,NA,61
1,9,2018,121,0.491,14.9,NA,NA,NA,NA,NA,NA,61
1,9,2018,123,0.542,18.7,NA,NA,NA,NA,NA,NA,61
11,3,2017,1,0.95,20,BI1,N,N,Y,10,NA,
11,3,2017,2,0.83,20.1,BI2,N,N,Y,10,NA,-6
11,3,2017,3,0.672,18.3,BI3,N,N,Y,10,bleeding_from_rump?,-6
11,3,2017,4,0.735,18.6,BI4,Y,N,Y,10,NA,-6
11,3,2017,5,0.55,17.2,BI5,N,N,Y,10,NA,-6
11,3,2017,6,0.616,17.4,BI6,N,N,Y,10,NA,-6
11,3,2017,7,0.661,17.9,BI7,Y,N,Y,10,NA,-6
11,3,2017,8,0.488,16.5,BI8,Y,N,Y,10,NA,-6
11,3,2017,9,0.52,16.5,BI9,N,N,Y,10,NA,-6
11,3,2017,10,0.58,17.4,BI10,N,N,Y,10,NA,-6
11,3,2017,11,0.476,16.6,BI11,Y,N,Y,10,NA,-6
11,3,2017,12,0.505,17.2,BI12,Y,N,Y,10,NA,-6
11,3,2017,13,0.713,17.3,BI13,Y,N,Y,10,11:00:00_AM,-6
11,3,2017,14,0.474,16.7,BI14,Y,N,Y,10,NA,-6
11,3,2017,15,0.597,16.9,BI15,Y,N,Y,10,NA,-6
11,3,2017,16,0.515,17,BI16,Y,N,Y,10,maybe_dead?_Put_him_back_and_he_lives_-_spread_out_legs_and_stopped_breathing,-6
11,3,2017,17,0.412,16,BI17,Y,N,Y,10,NA,-6
11,3,2017,18,0.587,17.5,BI18,Y,N,Y,10,NA,-6
11,3,2017,19,0.567,17.6,BI19,Y,N,Y,10,NA,-6
11,3,2017,20,0.389,16.9,BI20,Y,N,Y,10,NA,-6
11,3,2017,21,0.501,17.4,BI21,Y,N,Y,10,11:18:00_AM,-6
11,3,2017,22,0.506,15.8,BI22,Y,N,Y,10,NA,-6
11,3,2017,23,0.586,17,BI23,Y,N,Y,10,NA,-6
11,3,2017,24,0.575,17.8,BI24,Y,Y,Y,10,had_to_swab_two_times_,-6
11,3,2017,25,0.561,16.6,BI25,Y,N,Y,10,NA,-6
11,3,2017,26,0.62,17.6,BI26,Y,N,Y,10,NA,-6
11,3,2017,27,0.569,16.8,BI27,Y,N,Y,10,NA,-6
11,3,2017,28,0.618,17.3,BI28,Y,Y,Y,10,NA,-6
11,3,2017,29,0.599,17.2,BI29,Y,Y,Y,10,NA,-6
11,3,2017,30,0.505,17,BI30,Y,N,Y,10,11:41:00_AM,-6
11,3,2017,31,0.553,16.9,BI31,Y,N,Y,10,NA,-6
11,3,2017,32,0.532,16.5,BI32,Y,N,Y,10,NA,-6
11,3,2017,33,0.462,15.8,BI33,Y,N,Y,10,11:49:00_AM,-6
11,3,2017,34,0.547,16.4,BI34,Y,N,Y,10,NA,-6
11,3,2017,35,0.731,18.7,BI35,Y,Y,Y,10,double_swab_,-6
11,3,2017,36,0.448,16.2,BI36,Y,N,Y,10,NA,-6
11,3,2017,37,0.563,15.6,BI37,Y,N,Y,10,11:58:00_AM,-6
11,3,2017,38,0.535,16.2,BI38,Y,N,Y,10,got_two_sprays,-6
11,3,2017,39,0.497,16.5,BI39,Y,N,Y,10,NA,-6
11,3,2017,40,0.695,17.9,BI40,Y,N,Y,10,NA,-6
11,3,2017,41,0.886,19.6,BI41,Y,N,Y,10,could_not_right_itself_well,-6
11,3,2017,42,0.389,15,BI42,Y,N,Y,10,might_have_died_-_bum_right_arm_-_was_very_slow,-6
11,3,2017,43,0.469,15.9,BI43,Y,N,Y,10,NA,-6
11,3,2017,44,0.528,16.2,BI44,Y,N,Y,10,NA,-6
11,3,2017,45,0.401,15.5,BI45,Y,N,Y,10,NA,-6
11,3,2017,46,0.43,14.8,BI46,Y,N,Y,10,NA,-6
11,3,2017,47,0.766,18.2,BI47,Y,N,Y,10,12:34:00_PM,-6
11,3,2017,48,0.506,17,BI48,Y,N,Y,10,NA,-6
11,3,2017,49,0.673,17.4,BI49,Y,N,Y,10,NA,-6
11,3,2017,50,0.518,16.3,BI50,Y,N,Y,10,1:27:00_PM,-6
11,3,2017,51,0.505,17.1,BI51,Y,N,Y,10,NA,-6
11,3,2017,52,0.726,19.5,BI52,Y,N,Y,10,NA,-6
11,3,2017,53,0.624,18,BI53,Y,N,Y,10,NA,-6
11,3,2017,54,0.493,16.2,BI54,Y,N,Y,10,NA,-6
11,3,2017,55,0.483,16.85,BI55,Y,N,Y,10,NA,-6
11,3,2017,56,0.873,15.8,BI56,Y,N,Y,10,NA,-6
11,3,2017,57,0.67,18.2,BI57,Y,Y,Y,10,NA,-6
11,3,2017,58,0.455,16.2,BI58,Y,N,Y,10,NA,-6
11,3,2017,59,0.618,17.8,BI59,Y,N,Y,10,NA,-6
11,3,2017,60,0.829,18.1,BI60,Y,N,Y,10,NA,-6
11,3,2017,61,0.611,17.4,BI61,Y,N,Y,10,NA,-6
11,3,2017,62,0.596,17,BI62,Y,Y,Y,10,NA,-6
11,3,2017,63,0.586,18.5,BI63,Y,N,Y,10,NA,-6
11,3,2017,64,0.712,17.6,BI64,Y,Y,Y,10,NA,-6
11,3,2017,65,0.514,16.3,BI65,Y,N,Y,10,bum_left_arm,-6
11,3,2017,66,0.912,19.4,BI66,Y,N,Y,10,NA,-6
11,3,2017,67,0.725,18.5,BI67,Y,N,Y,10,NA,-6
11,3,2017,68,0.355,14.9,BI68,Y,N,Y,10,NA,-6
11,3,2017,69,0.52,16.3,BI69,Y,N,Y,10,NA,-6
11,3,2017,70,0.676,18.7,BI70,Y,N,Y,10,NA,-6
11,3,2017,71,0.74,18.7,BI71,Y,N,Y,10,2:08:00_PM,-6
11,3,2017,72,0.593,17.4,BI72,Y,N,Y,10,NA,-6
11,3,2017,73,0.696,18.1,BI73,Y,N,Y,10,NA,-6
11,3,2017,74,0.688,17.9,BI74,Y,N,Y,10,NA,-6
11,3,2017,75,0.452,15.9,BI75,Y,Y,Y,10,NA,-6
11,3,2017,76,0.487,15.85,BI76,Y,N,Y,10,NA,-6
11,3,2017,77,0.485,16.2,BI77,Y,N,Y,10,NA,-6
11,3,2017,78,0.553,17.6,BI78,Y,Y,Y,10,NA,-6
11,3,2017,79,0.511,15.6,BI79,Y,N,Y,10,NA,-6
11,3,2017,80,0.509,17.4,BI80,Y,N,Y,10,NA,-6
11,3,2017,81,0.64,17.6,BI81,Y,N,Y,10,NA,-6
11,3,2017,82,0.51,17.1,BI82,Y,N,Y,10,NA,-6
11,3,2017,83,0.502,16.5,BI83,Y,N,Y,10,2:34:00_PM,-6
11,3,2017,84,0.439,16.3,BI84,Y,N,Y,10,NA,-6
11,3,2017,85,0.613,17.5,BI85,Y,N,Y,10,NA,-6
11,3,2017,86,0.575,17.8,BI86,Y,N,Y,10,NA,-6
11,3,2017,87,0.775,17.7,BI87,Y,N,Y,10,NA,-6
11,3,2017,88,0.553,16.35,BI88,Y,N,Y,10,NA,-6
11,3,2017,89,0.58,18,BI89,Y,N,Y,10,NA,-6
11,3,2017,90,0.42,15.6,BI90,Y,N,Y,10,NA,-6
11,3,2017,91,0.487,16,BI91,Y,N,Y,10,2:46pm,-6
11,3,2017,92,0.555,16.75,BI92,Y,N,Y,10,NA,-6
11,3,2017,93,0.484,16.3,BI93,Y,N,Y,10,NA,-6
11,3,2017,94,0.663,17.65,BI94,Y,N,Y,10,NA,-6
11,3,2017,95,0.58,16.1,BI95,Y,N,Y,10,NA,-6
11,3,2017,96,0.469,16.1,BI96,Y,N,Y,10,NA,-6
11,3,2017,97,0.445,15.05,BI97,Y,N,Y,10,NA,-6
11,3,2017,98,0.242,15.9,BI98,Y,N,Y,10,NA,-6
11,3,2017,99,1.041,21.75,BI99,Y,N,Y,10,NA,-6
11,3,2017,100,0.653,15.5,BI100,Y,N,Y,10,3:06:00_PM,-6
11,3,2017,101,0.454,16.9,BI101,Y,N,Y,10,NA,-6
11,3,2017,102,0.491,16.7,BI102,Y,N,Y,10,NA,-6
11,3,2017,103,0.744,18,BI103,Y,N,Y,10,NA,-6
11,3,2017,104,0.712,17.8,BI104,Y,N,Y,10,NA,-6
11,3,2017,105,0.554,17.4,BI105,Y,N,Y,10,NA,-6
11,3,2017,106,0.559,17,BI106,Y,N,Y,10,NA,-6
11,3,2017,107,0.641,16.8,BI107,Y,N,Y,10,NA,-6
11,3,2017,108,0.58,16.8,BI108,Y,N,Y,10,NA,-6
11,3,2017,109,0.682,17.5,BI109,Y,N,Y,10,NA,-6
11,3,2017,110,0.558,16.2,BI110,Y,N,Y,10,NA,-6
11,3,2017,111,0.649,17.5,BI111,Y,N,Y,10,NA,-6
11,3,2017,112,0.595,17.25,BI112,Y,N,Y,10,NA,-6
11,3,2017,113,0.573,17.4,BI113,Y,N,Y,10,3:24:00_PM,-6
11,3,2017,114,0.483,16.5,BI114,Y,N,Y,10,NA,-6
11,3,2017,115,0.579,16.7,BI115,Y,N,Y,10,NA,-6
11,3,2017,116,0.483,14.9,BI116,Y,Y,Y,10,NA,-6
11,3,2017,117,0.449,15.55,BI117,Y,N,Y,10,NA,-6
11,3,2017,118,0.505,16.3,BI118,Y,N,Y,10,NA,-6
11,3,2017,119,0.617,17.2,BI119,Y,N,Y,10,NA,-6
11,3,2017,120,0.603,17.9,BI120,Y,N,Y,10,NA,-6
11,3,2017,121,0.47,14.75,BI121,Y,N,Y,10,NA,-6
11,3,2017,122,0.367,14.95,BI122,Y,N,Y,10,NA,-6
11,3,2017,123,0.391,16.05,BI123,Y,N,Y,10,NA,-6
11,3,2017,124,0.455,16.1,BI124,Y,N,Y,10,NA,-6
11,8,2017,1,0.945,19.4,NA,N,N,N,0,NA,-6
11,8,2017,2,0.81,18.9,NA,N,N,N,0,NA,-1
11,8,2017,3,0.686,18.7,NA,N,N,N,0,NA,-1
11,8,2017,4,0.723,17.1,NA,N,N,N,0,NA,-1
11,8,2017,5,0.558,16.8,NA,N,N,N,0,NA,-1
11,8,2017,6,0.607,18.9,NA,N,N,N,0,NA,-1
11,8,2017,7,0.649,18.5,NA,N,N,N,0,NA,-1
11,8,2017,8,0.501,16.1,NA,N,N,N,0,NA,-1
11,8,2017,9,0.541,15.4,NA,N,N,N,0,NA,-1
11,8,2017,10,0.628,18.7,NA,N,N,N,0,NA,-1
11,8,2017,11,0.487,17,NA,N,N,N,0,NA,-1
11,8,2017,12,0.511,16.3,NA,N,N,N,0,NA,-1
11,8,2017,13,0.681,17.3,NA,N,N,N,0,NA,-1
